"date","open_day","close_day","high_day","low_day","volume_day"
0,93.25,135.947,146.88,92.49999,31432.8955072299
1,134.902,183.6,186.97,128,16881.9954128
2,184,170.104,290,19.9,29153.87753927
3,164.002,114.925,205,1.06,55488.33955657
4,115.55,76.667,130,20,53085.6172622
5,75.99,89.733,98.9,0.01,41635.60260727
6,92,117.1,142,80.3782,39485.0136335
7,117.1,127.205,132,110,24737.60144586
8,127.205,151.5,169.13,126.5,44361.11965619
9,150.79,136.43,151.91,13,37138.5465996799
10,136.43,131.49,148.5,113.42,29965.28593915
11,129.455,95.511,132.97,90.414,53651.8096256599
12,96.5,112.5,115.959,80,42608.5987162899
13,112.3,110.21,126,100,25847.25382195
14,110.22,111.8,116.98,98,25390.4530795301
15,111.69,117.9,122.5,110.1,18398.17307029
16,117.91,119,120,103.45,28202.1799199299
17,118,118.99,122,114.34,8968.08230303
18,118.99,126.8,130,118,14101.13062395
19,126.8,126.99,133,123,9041.43396892001
20,126.99,127.88,140.68,123,11941.01355394
21,128.1,119.19,132.65,117,15878.05727382
22,119.28,115.5,132.87,110.9,12097.0520319
23,115.41,94.4,117.5,89.9,18907.0502513
24,94.5,107.52,108.03,93,18772.64638708
25,107.02,100.11,119,95,17971.46336921
26,100.75,107,108.5,98.3,13392.53477024
27,106.69,99.67,107.89,91,12750.77906462
28,99.67,90.91,100.9,88.01,13796.20014265
29,90.7,86.32,92,1,17054.57651141
30,86.02,74.92,89.56,70.04,18022.11072439
31,74.99,71.5,75.7,62.94,26309.22653582
32,71.54,80,82,70,21645.1173206
33,80.75,89.4,101.39,80.32967,25442.90158227
34,89,91.92,99.83,82.45,10626.51826285
35,91.8,85.31,96.47,77,15444.92281396
36,84.03,87.43,88.67,82.99,12177.42714592
37,87.25,91.42,95.68,85.39,12270.4608995
38,91.41,95.43,101.03,90.54,17194.48646914
39,95.36,98,98.91,94.67,13001.91869385
40,97.66,95.72,98.3,89.51,16848.69932628
41,95.67,103.74,105,95.6,22059.04425027
42,103.54,108.6,114.45,100.48,22626.2436428
43,108.6,117.16,118.89,106.3,21018.23597336
44,116.9,128.43,134.94,116,31005.91764237
45,128.56,121.07,132.05,115,20530.41675563
46,121.54,117.99,127.99,115,17606.11980293
47,117.8,126.96,127.91,115.98561,23344.09501073
48,127.74,127.91,129.11,122.53,14525.31601365
49,127.9,122,128.26,121.5,13827.15463898
50,122,127,128.8,121.89,17453.20326267
51,126.92,119.2,128.5,83.26,53726.5698424499
52,119.5,123.78,125,115,14569.20011859
53,123.76,127.23,127.99,123.3,13944.0977728401
54,127.28,134.94,139.99,127,18409.24898465
55,135.2,141.9,150,133.99,22324.57709208
56,141.88,160.5,178.5,133.99,33983.82098579
57,163,179.04,183,157.8,27985.18682577
58,182,180,215,165,38675.69812095
59,183.38,179,200.9,155.81,48590.6609614498
60,178.03,194.79,198.75,170.24,20416.97652532
61,196.5,199.49,206,192.15,30097.50673452
62,199.5,225.75,227.53,198.5,21206.76710719
63,225.5,257.7577,258.32,223.8,37921.3861733899
64,257.7577,293.5,297.79,247,45714.80238654
65,293.74,331.04499,348.695,279,37688.8847185
66,332.01,307,386,266.66,42844.93947211
67,307.1357,348.98,357.95,265.11,26311.81739876
68,347.89,408.5,414.73,342,27053.1604464999
69,411.75,428.25,439.94,392.8,21721.20746919
70,428.24,467,488.88,388.011,24745.7675298499
71,466.99,735.04,850,463,28953.74956847
72,750,489.12,909,360,44562.8295460199
73,488.5,709.02,729,450.01,28223.05781442
74,709.03,829,839.77,681.34,19251.53821637
75,829.44,810,886.876543,745,17701.09077852
76,813.76,846.3,864.9,768,15692.51501967
77,847.01,960,969.99,800,18449.76981618
78,962,1039.4,1050.34,945,12638.92811709
79,1039.4,1119.9,1171.25,1004,12122.63355667
80,1119.9,985.05,1147,780,33564.62464423
81,994,1079.9,1089.88,936,13275.89959092
82,1077.01,1131.45,1175,1039.01,9767.38544420002
83,1136.99,981.71,1139.25,848.42,29894.31371935
84,981.7,775.99,1000.51,538,55240.83282814
85,775.99,731.97,817,650,20911.9258457
86,732,882.22,901,720,17359.86972981
87,880,943.59,992,877.38808,15790.41652452
88,944,855,949.88,804.26,18474.15596224
89,853.99,875.19,923.71,838.1,12348.8907251
90,875.19,838.55,880,805,12638.32869277
91,839.99,669.9,871.8845,650.9088,30510.94987799
92,668.05,660.53,751,613,28142.0738714
93,664.989,515,666,381.51,81374.75982387
94,514.99,694.99,700,514.99,39170.0938530899
95,695,614,721,570,28056.33564719
96,610.47,658.56,674.2,568,14953.8540951
97,663,666,674.39,608.01,11978.84820581
98,664.49,675,675,627,10494.33916818
99,673.53,731.1111,764,670,20517.23363188
100,731.01,728.99,745,704.0123,15354.07505003
101,728.59,732.45,739.98,690,12237.02887744
102,733.01,749.5,757,710.02,13494.3956275
103,749.54,775.17,800,735,15151.33183135
104,775.17,806.0601,818.99,773.45,12080.59540007
105,806.0601,910.36,939.8,800,23268.05914329
106,911,916.25,995,875.181,22897.93594297
107,916,836.5,943.15,765,32130.13482338
108,836,840.1202,849,785,17638.26369927
109,839.8,823.8,844,779.99,16167.561705
110,823.8,886,915,822,14588.74119368
111,886,821.2,906,808,14838.30572975
112,821.7,818.99,836.99,784,13755.15411227
113,819.97,845.55,850.25,811.05,8955.19108037
114,840,792,847.68,782,9448.55225481003
115,796.4,795,820,765.03,9839.58778071004
116,795,829.23,844.99,795,10638.57318361
117,829.23,815.7,839.49,803.1,5954.76755647002
118,815.7,793.9999,823,767.23,11815.86084877
119,789.25,803,817,774.38,8029.29788926002
120,803,740,836.7318,735.57,19367.16475984
121,739.13,788,814.5,726.5,17831.21397452
122,786.26,806,812.65489,770,11233.1933649
123,803.0101,804.51,829,793,12948.55027589
124,806.699,785,829,769.01,21844.78780529
125,786,732,798,620,48931.1448036799
126,732,673,747,666.53,16425.45403616
127,673,676,728.89934978,200,43684.47232967
128,676,650,721.35,633.3101,40886.6912404499
129,649,650,686.1,631.2,22651.75049756
130,650,632.2,655.79,535,49782.4349616
131,632.3,645,710,625.03,28033.7790688
132,645,632.1,670.9999,585,22031.19382076
133,632.1,627.75,664,611.304999,19455.5042466
134,627,576.25,636.85,574,25332.04137638
135,576.24,583.4,594,530,33572.5803289299
136,583.4,617,644.93,562,23652.18911234
137,617,550.31,635,546.66,33743.13201059
138,548.001,514,550.31,400,95969.44563607
139,514,588.43,609,512,42896.32565436
140,587.75,565.01,601.2,562.5,17875.21748913
141,565.1001,570.25,579.5,540.2044,18246.01383834
142,568,696.51,719.25,555.161,43351.62278195
143,697,664.51,703.85,645.0001,34313.99398691
144,664.5,653.04,678.9999,648.7,14011.68533665
145,653.04,623,669,616.23,22491.30467306
146,623,640.0101,654.999,600.6,17854.75153789
147,640.0303,642.5,654,606,16088.73346836
148,642.5,636.2,649.545,631,10159.94228292
149,634.6,625.99969,639.8899,623,8688.60892936003
150,626,620.0101,628.2,600,11688.37715185
151,620.5,587.03,621.6,584,10169.18977475
152,587.0301,556.0001,605.96,550.09,24079.36889877
153,556.0001,561.11,571,550.5,11016.05479799
154,561.9,584.89,593.25,561.1,16484.25367648
155,584.7499,478.98,586.4899,465,45081.5886983
156,478.98,503.99,533.36,478,34755.9370228699
157,503.99,456.4201,504.78,436.2,28928.87597026
158,457,489.51,513.9,436.1,34198.42337339
159,489,444.9999,496.2,431.2,34189.92911247
160,442.3,439.011,463,415.46,28966.07222569
161,439,462.1202,464.5,430.2,13631.80216821
162,462.1203,455.999,465.9998,445.01,10327.07271935
163,455.9,410.84,458.8,403.99,24630.07522009
164,410.84,429.0001,433.6,340,59019.81354076
165,428.02,423.72,441,413.0741,18562.68317713
166,423.72,463.4,478,400,32096.92660822
167,463,496.99,513.9,452,27828.32932593
168,496.99,515.7,547,495,35092.30069117
169,515.7,479.05,532.4998,474.25,24245.9724624
170,479.06,511.035,517.995,473.83,13783.94080498
171,511.0451,492.2,515.646,485,12812.04898855
172,492.1,498.6,504.96,480.16,10586.65369236
173,498.6,454.1799,501.6499,441.3,35357.7335147999
174,454.1798,425.8,469.19,423.11,17249.04071609
175,425.09733887,441.4049,454,424.1101,16431.14538532
176,441.4049,459.122,463.53,432,11979.2019449
177,459.122,437.550001,461.6699,430,11617.09017099
178,437.550001,431,444.4,419.4,15755.41902988
179,431.01,443,453.6,424.2487,14986.8579479
180,442.99,450.68,459.65,437.69,8176.13265438011
181,447.6,443.8,450.69,430,15473.36004699
182,442.9,448.34,453,441.41,6977.33490812002
183,448.3,498.1,501,444.1,25192.92681251
184,498.62,521.84,524.79,490.41,20442.60231163
185,521.7,526,544.78,514.25,21546.54459256
186,525.99,567.25,586,517.2,34364.24304703
187,568.02,567.3,597.3,551,28852.84471932
188,567.3,568.7,587,563.25,18084.02266217
189,567,615.61,630,563,27003.0008521899
190,616.9,671.8,679.79,614.11,22470.59054034
191,671.8,663,680,615,39972.3348158599
192,662.5,635.4,685,620,38514.42618544
193,638.81,653.5,672,634,18690.68189425
194,653.5,654.5,664.94,637.01,14109.78483164
195,654.55,655.7,672,639.06,14011.07467496
196,655.81,628.04,666.5,618,19501.52594827
197,628.04,605.89,629.29,575.2,36177.34359346
198,605,558.2,606.98,522.15,29057.80481134
199,558,593,612,540,22531.28771571
200,593.58,606.55,619.6,591.09,14720.0989845
201,606.6,592.3,611.99,582.37,13130.31834728
202,592.32,601,615,583.5,12243.17685121
203,601,585.79,604.19,580,10524.63246708
204,585.78,573.75,586.2,560.53,13630.48762238
205,573.76,596,604.9,571.54,12610.03212605
206,596.26,626.8,634.97,593.37,13153.8897263
207,627.8,654.9,665,610.5,27075.5081613599
208,654.9,648,664,640.14,15744.28048859
209,648,631.13,652.99,629.3,11806.57177913
210,633.61,637.4,644.69,627.7,7152.60457779003
211,637.4,621.99,639.4,616.73,8295.02263842002
212,621.5,626.5,632.99,608.43,10587.01558677
213,626.5,634.65,642.79,624.11,7782.79560896003
214,634.37,619.81,635,616.8,8963.40376124002
215,619.72,621,627.5,611.21,7050.05601284003
216,621,619.98,633.6,616.96,7768.19584416004
217,620.01,618.66,623.17,616.21,4724.30181955001
218,618.66,600.08,619.59,591.4,12832.7352368801
219,600.08,577.6,600.88,575.8,12723.44748358
220,577,583.01,590.5,572,10837.59126545
221,583.01,584.74,590,561.47,16505.51638108
222,586.66,590.57,605.72,578.36,13498.37714954
223,590.46,585.47,595,578.13,7694.06274855001
224,585.31,580.45,586.76,574.01,8701.79464768002
225,579.02,586.89,598.88,579,9923.98165584004
226,587.15,567.18,594.49,562.51,14664.87307543
227,567.21,545.06,572.2,525,19875.67129747
228,544.84,515.79,547.3,451,42789.38855242
229,515.79,494,517.77,478,25366.20498463
230,494,494.33,523.11,491.53,20453.33318806
231,493.94,454.01,512.3,443,40828.88493764
232,454.03,486.61,492.61,448.01,29456.07112782
233,487,528.05,534.89,464,35507.39413896
234,528.04,508.11,529.93,503.7,19816.68635753
235,508.6,496,525,491.52,14239.41155106
236,496,500.05,517.7,494.5,11445.35113377
237,500.45,517.32,517.47,497.75,14301.56720677
238,517.32,505.23,522.8,503.86,11592.45353384
239,505.22,491.59,513.99,483,15833.74919775
240,491.56,473.71,493,471.01,16679.04860302
241,473,473.56,484,468.82,12641.03907178
242,474.4,487.13,497.24,472.99,13642.12499694
243,487.79,484.33,488.91,478.1,5547.61096737004
244,484.49,466.49,484.54,463.22,19010.08682055
245,465.28,484.1,489.99,463,13883.42496744
246,484.1,472.83,486.38,467,10354.68743215
247,472.84,479.21,483.93,472.82,10227.16252076
248,479.22,469.77,480.3,467.8,9971.34581987003
249,469.75,452.38,471.4,450.43,14290.40404301
250,452.44,390.99,455.95,382.03,55892.86620203
251,390.9,415,423,381.5,35164.6871687
252,415,400,426.3,392.23,27612.39914219
253,400.96,396.9,411.2,392.15,17100.8769899401
254,395.85,429.73,447.11,393.83,44876.83493319
255,429.69,410.75,434.63,402.33,17732.58718076
256,410.75,405.59,415,396.2,14121.70176351
257,405.54,379.1,406.92,365,26922.98795013
258,380.77,375.71,385.75,368,21563.6227276199
259,375.97,384.39,398.7,374.65,22689.56790082
260,384.39,373.33,385.52,367.8,15525.18029581
261,373.33,344.46,376.86,342.5,31195.59511825
262,346.26,289,350,275,71175.8019504401
263,289,338.8,346.89,286.46,84003.3275260899
264,338.84,329.3,340,317,37634.42248978
265,329.3,352.5,357.2,323.85,36731.0429510399
266,352.5,363.28,387.13,347.14,59720.10284576
267,363.28,359.31,379.74,351.15,34543.7941225599
268,358.68,370.48,374.61,351,25760.20501335
269,370.48,397,399.89,368.24,51552.4902257
270,397.02,400,414.42,391.7,48318.23590057
271,399.29,386.19,402.68,384.7,31984.48631765
272,385.83,384.45,388.75,370.21,35801.17482014
273,384.26,387.11,396,376.4,15904.40904052
274,387.12,380.4,392,370.2,22391.40803953
275,380.4,379.79,394,376.66,24476.83670551
276,379.8,355.72,384.65,355.7,35266.10711795
277,355.92,343.37,363.1,339.01,31549.70056153
278,343.37,351.45,359.9,337.65,29717.98292548
279,350.99,349.02,359.47,346.44,18190.73208025
280,349.01,337.51,355.44,334.62,24505.63170757
281,337.9,347.5,351,331,47448.87094454
282,347.52,336.18,351,332.14,35625.7005473599
283,337.2,321,338.7,315.54,31651.6166383999
284,320.99,324.44,334.14,319.39,17723.09976591
285,324.14,331.05,340,321,28786.15131283
286,331.01,341.05,343.4,330.28,23675.95068383
287,341.23,341.8,354.32,338.1,36338.0709550599
288,341.85,347.99,350.15,340.02,18742.73585118
289,347.99,372.05,373.52,345.34,49904.7506633301
290,372.06,366.41,374.26,360.74,19352.82183399
291,366.41,430.9,436,365.23,107857.05320043
292,430.9,416.64,475,381.56,144596.90251467
293,416.3,390.01,419.46,382.22,67075.25557192
294,390.45,386,400.97,368,39426.43809369
295,385.99,402.59,407.5,378.4,31022.33635441
296,402.57,377.87,413.48,373,48754.36508149
297,377.87,376.11,386,366.46,33865.92848295
298,376.1,354.4,379.83,352.01,27100.50004326
299,354.4,318.3,358.32,318.2,37789.61450995
300,318.3,312.88,318.98,310.41,10057.84303932
301,312.45,281.75,312.89,275.31,71088.58792744
302,281.94,273.51,287.5,255.03,79431.14242396
303,273.51,274.92,280.44,263.75,38567.60957462
304,274.9,295.65,298,273.71,43943.2120564098
305,295.65,292.43,303.33,282.01,38833.64344487
306,292.72,288.68,297.32,280.4,35091.6689565
307,288.69,276.23,290.91,275,27626.5764891499
308,276.22,269.99,280.3,265.83,28953.1269289
309,270,233.75,274.44,226.1,104325.0756912
310,233.03,195.7,243,166.45,241142.8359646
311,195.58,217.6,230.74,172.51,219477.66055735
312,217.98,206.17,224.4,195,104077.32275092
313,206.2,199.38,214,192.2,67801.4305116599
314,199.4,209.01,222,194,65555.82999536
315,209,214.68,219.51,207,33373.7349216
316,214.69,212.1,219.95,203.7,59179.6609896
317,212.1,239,242,211,75079.1208306
318,238.02,227.35,240.66,225.13,50377.71060871
319,227.63,234.71,236.98,225.52,36026.39523733
320,234.72,249.31,259.39,231.99,60349.9498744799
321,249.3,300.23,315,245,137950.37415788
322,300.11,260,312.5,255.1,139581.34664584
323,260.09,258.25,272.66,250,60115.2699448
324,258.26,222.75,260.89,222.2,85768.05816367
325,222.3,233.41,243.89,220,62869.4157774501
326,233.33,230.36,234.03,224.11,47042.84643573
327,230.58,218.74,233.1,211.02,61028.6853382202
328,219.03,226.44,233.32,218.37,52185.51967152
329,226,228.24,248.42,225.24,92568.32207038
330,228.12,225.95,233,220.23,54203.8214376
331,225.95,218.4,228.8,210.12,41330.79341288
332,218.4,225.26,228.39,215,37793.2241928999
333,225.3,225,239.78,222.84,35589.27050127
334,225.03,218,232.9,215.33,36863.96159814
335,218,216.09,225,214,47875.51076756
